layer1,layer2,layer3,layer4
50.12967042599999,44.874119743704796,46.871958592673764,162.81667737662792
41.72670109999999,31.328705318272114,33.55582824535668,291.59295243024826
38.192058011,27.3600318916142,36.70269871503115,409.4387923181057
38.21541288099999,26.26395432651043,31.021121878176928,396.7027348279953
41.57957801000001,27.732749827206135,24.921818267554045,300.9957205504179
40.07792091099999,31.23909442126751,23.76081147044897,213.41201726347208
39.60755749919999,32.916324496269226,25.597108628600836,154.11982698738575
38.89295302199999,31.202687844634056,23.97260993719101,258.9110473394394
43.926561113999995,33.78771835193038,22.94558760523796,432.1400332003832
43.219935705999994,30.270758341997862,24.29581150226295,563.429790854454
38.54972788999999,27.167308017611504,31.12583615258336,549.4199540093541
39.1527580005,24.334201157093048,31.85222946293652,477.8505880832672
39.516794853,29.441187668591738,48.69876063615084,379.87025760114193
38.197878704999994,30.371833249926567,45.51302292943001,260.1941332295537
35.51284695699999,31.70456087589264,33.95648942142725,338.7148618251085
36.881718272,26.97830018401146,18.20193749666214,551.7345585078001
40.374419769999996,23.84472264535725,21.63149067759514,715.0345423966646
42.608697766000006,28.69074134156108,17.541011514142156,711.0432722195983
42.47129584,26.46316572278738,18.075697572901845,655.760890930891
38.415228015,32.77451431006193,21.175379402004182,529.9934579730034
42.50984814599999,30.126254120841622,22.9650171212852,381.21830643713474
39.33066298199999,26.979949049651623,22.260528866201636,374.28509916365147
34.75407773499999,25.073985017836094,18.216347973793745,626.7269363254309
37.51761481600002,27.32581498287618,15.431030506268144,790.9364752322435
34.79664883569999,31.455361649394035,14.919860857538879,812.0518137514591
34.482718454499995,26.226309791207314,19.607673324644566,787.058267518878
36.772084527,33.451348872855306,21.192034784704447,628.4733581840992
38.76839498560001,39.28096590936184,22.201447742059827,449.00498709082603
39.772094665,30.3265035841614,38.499570053070784,315.27690252661705
38.736554666,24.62679337710142,21.009403981268406,590.3217827379704
40.52141327000001,20.57571910135448,25.749589655548334,743.660597205162
41.38849493199999,20.763726983219385,23.152727504028007,798.1291002780199
36.35112051699999,18.4394442550838,29.96034986525774,718.2845949083567
37.15426785239999,25.610000252723694,36.605131048709154,550.194308757782
37.160615406,21.683895368129015,37.0916913151741,386.05012506991625
40.573309014,23.87786214053631,35.359553853049874,228.06273253262043
39.834647577,24.483214855194092,35.068510411307216,473.64464108645916
36.448069328200006,21.226865290664136,37.63686752971262,557.973151192069
39.567890169,15.22913458198309,31.98196509014815,652.1019171774387
37.41384377,16.14041429013014,29.363887609913945,588.891988016665
40.670332585,15.609660163521767,30.52643427811563,433.6380887180567
37.920280678,18.364087350666523,33.85185196995735,280.1852230578661
41.113872027999996,19.024453848600388,31.535176172852516,154.64387148991227
40.471108081000004,16.06110557168722,20.65427310857922,274.09679617732763
42.12004180699999,19.191395312547684,26.121486039832234,304.6188739165664
38.57389175100001,24.31457855924964,29.53124531917274,368.7272142469883
37.70891796,24.566710203886032,31.679345414042473,327.41233613342047
41.486288889000015,15.358924511820078,27.87094317562878,228.15364348888397
41.08657667399999,21.443001365754753,26.116127667948604,157.02299451828003
35.042639213,19.44133773818612,27.898612160235643,
37.71797642000001,18.93553852289915,29.20609499514103,
38.568862448000004,26.47269530594349,42.37072730064392,
34.746455485,23.054402705281973,45.62496180459857,
37.909848247999996,18.60864907130599,34.171737156808376,
50.936192719999994,24.360863253474236,33.257599391043186,
52.308871813,29.93955285474658,28.12190973199904,
46.66055852800002,32.911807257682085,28.742341827601194,
37.36333113800001,21.680727768689394,27.82537664845586,
35.007884962000006,18.713582813739777,29.91877561621368,
34.70427882000001,21.764745140448213,27.832471089437604,
32.719026715,21.781773671507835,23.011272095143795,
34.58995722200001,16.8123998939991,24.098452584818006,
36.20066773,15.960943724960089,22.227493597194552,
36.505180085999996,13.217873714864254,22.5107161141932,
36.722485004499994,13.552394919097424,23.191685447469354,
35.44211500800001,12.690746083855629,25.430296926759183,
32.53810210169999,14.458755075931549,29.203333551064134,
37.03199784199999,18.30442090332508,28.13731187209487,
41.620760574799995,17.312916696071625,34.82887595053762,
41.01672768600002,21.170997105538845,29.0945146959275,
31.057118490000008,22.92962179891765,30.75973430275917,
