layer1,layer2,layer3,layer4
51.25698612000001,48.95014721527696,50.985867692157626,149.9598726555705
46.53190059499999,39.02839035913348,33.820811092853546,247.07645006477833
40.42036568799999,24.29639121517539,35.28404709324241,362.2221177145839
36.32805684999999,25.14108617976308,26.83138494193554,379.0446853041649
38.22202087134,21.519427970051765,22.475689601153135,300.3836889266968
38.764867636999995,24.566414181143045,23.57474527321756,266.8742102831602
36.433330895000005,21.835455033928156,25.254696678370237,210.89953356981277
38.59819199100001,24.47220053523779,23.397160712629557,254.7863695770502
35.034393554000005,28.116953939199448,22.685135331004858,375.33903051912785
35.485347360000006,24.435986787080765,23.807094668969512,496.2542192861438
37.812918102,25.920578241348267,33.27658675983548,493.77663293480873
39.59170798700002,25.97876638919115,36.05609173886478,447.4927218556404
37.712103401,25.679812476038933,45.033482521772385,393.1398056074977
36.82012878799999,29.46195585653186,42.898593943566084,317.4886228144169
34.687603491999994,27.038560662418604,34.350349297747016,337.13531566411257
38.86504871000002,26.46673521026969,17.254857048392296,491.1371877938509
37.499917347899995,23.883695593103766,21.523382617160678,632.9104895144701
36.993685807,25.117018815129995,18.24199053272605,633.9108111709356
34.0375623467,25.432628761976957,18.921358617022634,618.6796379834414
35.424646794,22.51384126394987,21.492858458310366,524.7350164353848
37.828563040000006,25.345160959288478,24.427624808624387,410.5801724791527
37.5055520303,26.471857577562332,24.559563525021076,387.1142772883177
36.74159706,26.628034219145775,21.23377176001668,589.4169355332851
37.698786979999994,25.63705236464739,16.721023358404636,723.8980784416199
34.525888457,25.29406587779522,18.52919026464224,754.5958754718304
37.575541403999985,28.863237038254738,21.467734429985285,743.6683691516519
37.182989345,34.49489760398865,23.22719777468592,617.9168823957443
35.03481461,41.10256764292717,26.22814852744341,484.7557793185115
40.164688868,28.49183125793934,41.29548096470535,371.75883039087057
38.481509598,24.612437412142754,23.734284261241555,590.1126878485084
35.06924947500001,17.935804188251495,26.91145471483469,715.2382151298225
33.388348272600005,21.058524325489998,24.286025281995535,765.5597328394651
35.664424333999996,18.938574198633432,31.21927219070494,690.1840585768223
33.275724710999995,19.243042681366205,38.41237808391452,534.2455423027277
35.66308638700001,23.53421374410391,39.79921601712704,412.26621773838997
40.102367144999995,21.765800580382347,41.942711532115936,290.96718795597553
36.995749809,22.524246729910374,41.513181193731725,511.8452102690935
